Date,Time,Date & Time,IP - EMF 23,IP - EMF 33,IP - EMF 47,WS01-DMA07-CMP01,WS01-DMA07-CMP 02,WS01-DMA07-CMP 03,WS01-DMA07-CMP04 ,WS01-DMA07-AZP 01,IF - EMF 23,IF - EMF 33,IF - EMF 47
01/10/2021,12:00:00 AM,01/10/2021   00:00:00,,,,,0.24,0.49,0,0,,,
01/10/2021,12:15:00 AM,01/10/2021   00:15:00,,,,,0.24,0.49,0,0,,,
01/10/2021,12:30:00 AM,01/10/2021   00:30:00,,,,,0.24,0.49,0,0,,,
01/10/2021,12:45:00 AM,01/10/2021   00:45:00,,,,,0.49,0.73,0,0,,,
01/10/2021,01:00:00 AM,01/10/2021   01:00:00,,,,,0.24,0.49,0,0,,,
01/10/2021,01:15:00 AM,01/10/2021   01:15:00,,,,,0,0.24,0,0,,,
01/10/2021,01:30:00 AM,01/10/2021   01:30:00,,,,,0,0.24,0,0,,,
01/10/2021,01:45:00 AM,01/10/2021   01:45:00,,,,,0,0.49,0,0,,,
01/10/2021,02:00:00 AM,01/10/2021   02:00:00,,,,,0,0.49,0,0,,,
01/10/2021,02:15:00 AM,01/10/2021   02:15:00,,,,,0,0.24,0,0,,,
01/10/2021,02:30:00 AM,01/10/2021   02:30:00,,,,,0,0.24,0,0,,,
01/10/2021,02:45:00 AM,01/10/2021   02:45:00,,,,,0,0.49,0,0,,,
01/10/2021,03:00:00 AM,01/10/2021   03:00:00,,,,,0,0.24,0,0,,,
01/10/2021,03:15:00 AM,01/10/2021   03:15:00,,,,,0,0.24,0,0,,,
01/10/2021,03:30:00 AM,01/10/2021   03:30:00,,,,,0,0.24,0,0,,,
01/10/2021,03:45:00 AM,01/10/2021   03:45:00,,,,,0.24,0.24,0,0,,,
01/10/2021,04:00:00 AM,01/10/2021   04:00:00,,,,,0,0.24,0,0,,,
01/10/2021,04:15:00 AM,01/10/2021   04:15:00,,,,,0,0.24,0,0,,,
01/10/2021,04:30:00 AM,01/10/2021   04:30:00,,,,,0.24,0.49,0,0,,,
01/10/2021,04:45:00 AM,01/10/2021   04:45:00,,,,,0,0.24,0,0,,,
01/10/2021,05:00:00 AM,01/10/2021   05:00:00,,,,,0,0.98,0.24,0.24,,,
01/10/2021,05:15:00 AM,01/10/2021   05:15:00,,,,,3.17,2.93,2.44,3.66,,,
01/10/2021,05:30:00 AM,01/10/2021   05:30:00,,,,,3.41,3.17,2.44,3.66,,,
01/10/2021,05:45:00 AM,01/10/2021   05:45:00,,,,,3.17,2.93,2.44,3.41,,,
01/10/2021,06:00:00 AM,01/10/2021   06:00:00,,,,,3.17,3.41,2.68,3.66,,,
01/10/2021,06:15:00 AM,01/10/2021   06:15:00,,,,,3.66,3.66,2.68,4.15,,,
01/10/2021,06:30:00 AM,01/10/2021   06:30:00,,,,,3.41,3.41,2.44,3.66,,,
01/10/2021,06:45:00 AM,01/10/2021   06:45:00,,,,,2.93,2.93,2.2,3.41,,,
01/10/2021,07:00:00 AM,01/10/2021   07:00:00,,,,,3.17,2.93,2.44,3.41,,,
01/10/2021,07:15:00 AM,01/10/2021   07:15:00,,,,,3.17,2.44,2.44,3.17,,,
01/10/2021,07:30:00 AM,01/10/2021   07:30:00,,,,,3.17,2.93,2.2,3.41,,,
01/10/2021,07:45:00 AM,01/10/2021   07:45:00,,,,,3.17,2.68,2.2,3.41,,,
01/10/2021,08:00:00 AM,01/10/2021   08:00:00,,,,,3.17,2.68,1.95,3.41,,,
01/10/2021,08:15:00 AM,01/10/2021   08:15:00,,,,,3.17,2.68,2.2,3.17,,,
01/10/2021,08:30:00 AM,01/10/2021   08:30:00,,,,,2.93,2.44,2.2,3.17,,,
01/10/2021,08:45:00 AM,01/10/2021   08:45:00,,,,,2.68,2.44,1.71,2.93,,,
01/10/2021,09:00:00 AM,01/10/2021   09:00:00,,,,,2.93,2.2,1.71,2.68,,,
01/10/2021,09:15:00 AM,01/10/2021   09:15:00,,,,,2.93,2.44,1.46,2.93,,,
01/10/2021,09:30:00 AM,01/10/2021   09:30:00,,,,,2.93,2.2,1.22,2.68,,,
01/10/2021,09:45:00 AM,01/10/2021   09:45:00,,,,,2.93,2.2,1.46,2.68,,,
01/10/2021,10:00:00 AM,01/10/2021   10:00:00,,,,,3.17,2.44,1.71,2.68,,,
01/10/2021,10:15:00 AM,01/10/2021   10:15:00,,,,,2.93,2.2,1.46,2.68,,,
01/10/2021,10:30:00 AM,01/10/2021   10:30:00,,,,,2.93,2.44,1.71,2.93,,,
01/10/2021,10:45:00 AM,01/10/2021   10:45:00,,,,,2.93,2.44,1.71,2.93,,,
01/10/2021,11:00:00 AM,01/10/2021   11:00:00,,,,,2.93,2.68,1.95,2.68,,,
01/10/2021,11:15:00 AM,01/10/2021   11:15:00,,,,,3.17,2.44,1.95,2.68,,,
01/10/2021,11:30:00 AM,01/10/2021   11:30:00,,,,,2.68,2.44,1.95,2.44,,,
01/10/2021,11:45:00 AM,01/10/2021   11:45:00,,,,,3.17,2.68,1.71,2.93,,,
01/10/2021,12:00:00 PM,01/10/2021   12:00:00,,,,,3.17,2.93,1.95,2.93,,,
01/10/2021,12:15:00 PM,01/10/2021   12:15:00,,,,,3.17,2.93,2.2,3.17,,,
01/10/2021,12:30:00 PM,01/10/2021   12:30:00,,,,,3.41,2.93,1.95,2.93,,,
01/10/2021,12:45:00 PM,01/10/2021   12:45:00,,,,,3.17,2.68,1.95,2.68,,,
01/10/2021,01:00:00 PM,01/10/2021   13:00:00,,,,,3.17,2.68,1.95,2.68,,,
01/10/2021,01:15:00 PM,01/10/2021   13:15:00,,,,,3.41,2.93,1.71,2.68,,,
01/10/2021,01:30:00 PM,01/10/2021   13:30:00,,,,,3.41,2.93,1.71,2.68,,,
01/10/2021,01:45:00 PM,01/10/2021   13:45:00,,,,,3.66,3.17,1.95,2.93,,,
01/10/2021,02:00:00 PM,01/10/2021   14:00:00,,,,,3.41,2.93,1.46,2.68,,,
01/10/2021,02:15:00 PM,01/10/2021   14:15:00,,,,,3.66,2.93,1.95,2.93,,,
01/10/2021,02:30:00 PM,01/10/2021   14:30:00,,,,,3.66,3.17,1.71,2.93,,,
01/10/2021,02:45:00 PM,01/10/2021   14:45:00,,,,,3.66,3.17,2.2,2.93,,,
01/10/2021,03:00:00 PM,01/10/2021   15:00:00,,,,,3.41,3.41,2.44,3.17,,,
01/10/2021,03:15:00 PM,01/10/2021   15:15:00,,,,,3.9,3.41,2.44,3.41,,,
01/10/2021,03:30:00 PM,01/10/2021   15:30:00,,,,,3.9,3.66,2.68,3.41,,,
01/10/2021,03:45:00 PM,01/10/2021   15:45:00,,,,,3.9,3.66,2.68,3.66,,,
01/10/2021,04:00:00 PM,01/10/2021   16:00:00,,,,,4.15,3.66,2.93,3.66,,,
01/10/2021,04:15:00 PM,01/10/2021   16:15:00,,,,,4.39,3.66,2.93,4.15,,,
01/10/2021,04:30:00 PM,01/10/2021   16:30:00,,,,,3.9,3.9,3.17,3.9,,,
01/10/2021,04:45:00 PM,01/10/2021   16:45:00,,,,,4.15,3.9,3.17,4.39,,,
01/10/2021,05:00:00 PM,01/10/2021   17:00:00,,,,,4.39,4.15,3.17,4.39,,,
01/10/2021,05:15:00 PM,01/10/2021   17:15:00,,,,,4.63,4.15,3.41,4.39,,,
01/10/2021,05:30:00 PM,01/10/2021   17:30:00,,,,,4.39,3.9,3.17,4.15,,,
01/10/2021,05:45:00 PM,01/10/2021   17:45:00,,,,,4.39,3.9,3.17,4.15,,,
01/10/2021,06:00:00 PM,01/10/2021   18:00:00,,,,,4.15,3.66,3.17,3.9,,,
01/10/2021,06:15:00 PM,01/10/2021   18:15:00,,,,,4.63,4.39,3.66,4.88,,,
01/10/2021,06:30:00 PM,01/10/2021   18:30:00,,,,,4.88,4.39,3.9,4.88,,,
01/10/2021,06:45:00 PM,01/10/2021   18:45:00,,,,,5.12,4.63,4.15,5.12,,,
01/10/2021,07:00:00 PM,01/10/2021   19:00:00,,,,,5.12,5.12,4.15,5.12,,,
01/10/2021,07:15:00 PM,01/10/2021   19:15:00,,,,,5.37,5.12,4.39,5.12,,,
01/10/2021,07:30:00 PM,01/10/2021   19:30:00,,,,,5.12,4.63,3.66,4.63,,,
01/10/2021,07:45:00 PM,01/10/2021   19:45:00,,,,,4.88,4.63,3.66,4.88,,,
01/10/2021,08:00:00 PM,01/10/2021   20:00:00,,,,,4.88,4.39,3.66,4.88,,,
01/10/2021,08:15:00 PM,01/10/2021   20:15:00,,,,,4.88,4.39,3.66,4.88,,,
01/10/2021,08:30:00 PM,01/10/2021   20:30:00,,,,,4.63,4.39,3.66,4.63,,,
01/10/2021,08:45:00 PM,01/10/2021   20:45:00,,,,,3.9,3.66,2.93,3.9,,,
01/10/2021,09:00:00 PM,01/10/2021   21:00:00,,,,,3.41,3.66,2.93,4.15,,,
01/10/2021,09:15:00 PM,01/10/2021   21:15:00,,,,,4.88,4.63,4.15,5.12,,,
01/10/2021,09:30:00 PM,01/10/2021   21:30:00,,,,,5.12,4.88,4.15,5.12,,,
01/10/2021,09:45:00 PM,01/10/2021   21:45:00,,,,,5.37,4.88,3.9,5.12,,,
01/10/2021,10:00:00 PM,01/10/2021   22:00:00,,,,,4.88,4.63,4.15,5.37,,,
01/10/2021,10:15:00 PM,01/10/2021   22:15:00,,,,,4.63,4.39,3.41,4.63,,,
01/10/2021,10:30:00 PM,01/10/2021   22:30:00,,,,,4.39,4.15,3.17,4.39,,,
01/10/2021,10:45:00 PM,01/10/2021   22:45:00,,,,,4.39,3.9,3.17,4.39,,,
01/10/2021,11:00:00 PM,01/10/2021   23:00:00,,,,,4.39,2.44,1.95,2.2,,,
01/10/2021,11:15:00 PM,01/10/2021   23:15:00,,,,,0.49,0.98,0,0,,,
01/10/2021,11:30:00 PM,01/10/2021   23:30:00,,,,,0.49,0.49,0,0,,,
01/10/2021,11:45:00 PM,01/10/2021   23:45:00,,,,,0.24,0.73,0,0,,,
02/10/2021,12:00:00 AM,02/10/2021   00:00:00,,,,,0.24,0.49,0,0,,,
